display_name,centroid_lat,centroid_long,radius
Greenbank,51.466386,-2.558938,0.310000
Cameron Toll,55.925368,-3.158640,0.887000
Llandaff,51.492864,-3.224419,1.746000
Upper Knowle,51.434971,-2.565996,0.399000
Headingley,53.817195,-1.577738,1.477000
Broomhill,55.875853,-4.319790,0.425000
Hodge Hill,52.499197,-1.809822,1.398000
University Area,54.585102,-5.928746,0.668000
Ferry Road,55.971239,-3.217330,3.378000
Great Barr,52.542090,-1.907624,3.721000
Blantyre,55.789156,-4.095529,1.669000
Danderhall,55.913345,-3.109650,0.537000
Sheldon,52.462610,-1.783702,1.788000
Yoker,55.887426,-4.377335,0.873000
Baguley,53.396682,-2.287944,1.398000
Streatham,51.426399,-0.128108,1.597000
Henbury,51.507841,-2.622678,1.376000
Erdington,52.525209,-1.848035,2.490000
Small Heath,52.471060,-1.850917,1.691000
Milton,55.897810,-4.247152,0.701000
Parkhead,55.850099,-4.194899,0.702000
Bournville,52.424064,-1.938215,2.200000
Murrayfield,55.944069,-3.239807,1.815000
Dunkirk,52.938930,-1.182559,0.262000
Salford,53.489704,-2.269090,4.919000
Norwich,52.660615,1.274581,33.930000
Mitcham,51.407882,-0.158249,1.973000
Willowbrae,55.950806,-3.142548,0.842000
Kenton,51.585046,-0.304361,1.332000
Hammersmith,51.492476,-0.224267,2.266000
Longstone,55.923856,-3.261863,0.837000
Crewe Toll,55.970460,-3.238434,0.600000
Oakwood,53.822396,-1.500054,1.304000
Tower Bridge,51.497354,-0.074862,1.383000
Harbourside,51.451399,-2.597111,1.214000
Neasden,51.554498,-0.246895,1.269000
Wanstead,51.575319,0.024258,1.421000
Catford,51.439304,-0.016160,1.510000
Malone,54.576422,-5.944899,1.368000
Whitechapel,51.517508,-0.055920,1.384000
South West London,51.432422,-0.224018,17.826000
Castle Vale,52.518704,-1.788459,0.698000
Giffnock,55.805428,-4.295229,1.638000
Seacroft,53.821292,-1.465519,1.175000
Granton,55.976366,-3.230633,1.660000
Gedling,52.975898,-1.083953,1.467000
Earlsfield,51.443841,-0.188122,1.144000
Cambridge,52.206828,0.125367,20.877000
Stapleton,51.481964,-2.549514,1.172000
Clydebank,55.909359,-4.397571,3.928000
Northern Moor,53.410545,-2.285037,1.190000
Epsom,51.340719,-0.260969,2.358000
Armley,53.796209,-1.593154,1.591000
Ravenhill,54.587548,-5.906031,0.490000
Shard End,52.496465,-1.777117,1.692000
Wollaton,52.955170,-1.202571,3.132000
Broadmead,51.457037,-2.589058,0.627000
Sefton Park,53.383423,-2.945734,1.097000
Hockley,52.492217,-1.913648,1.846000
Ladbroke Grove,51.519508,-0.211070,0.890000
Dingle,53.380927,-2.964447,0.516000
Hartcliffe,51.406793,-2.600265,1.053000
Newcastle,54.995807,-1.654414,59.923000
Bellevue,55.962085,-3.188928,0.469000
Woodford Green,51.606601,0.031493,1.722000
Trowbridge,51.516609,-3.106815,0.545000
Lawrence Weston,51.498894,-2.661273,1.649000
Robroyston,55.894646,-4.189417,0.886000
Watford,51.659082,-0.400506,2.648000
Sutton,51.365229,-0.190192,2.466000
Marylebone,51.518558,-0.152772,1.457000
Colwick,52.957316,-1.086867,0.589000
Stockbridge,55.958056,-3.210123,1.115000
Poole,50.728427,-1.955963,5.524000
Gildersome,53.758593,-1.631289,0.655000
